story,title,subtitle,author,date,tags
https://medium.com/javascript-in-plain-english/task-i-couldnt-solve-at-a-front-end-developer-interview-e28c371791d3,Task I Couldn’t Solve at a Front-End Developer Interview,"About two years ago, I had an interview at one IT company. As it is common, there were two developers who actively bombarded me with different JavaScript tasks. But one of them surprised me with a task and I didn't have enough time to solve it. Thanks to these developers…",Katryn Dmytruk,2022-01-25,"['javascript', 'interview', 'front-end-development', 'programming', 'web-development']"
https://medium.com/towards-data-science/retrieval-transformer-enhanced-reinforcement-learning-24509e97c4c6,Retrieval Transformer Enhanced Reinforcement Learning,"Incorporating Retrieval Transformers With Our Game-Playing AI Chappie — Hi everyone, if you’ve been following my previous blog posts, you’ll know that I’ve been utilizing Transformers in my recent reinforcement learning (RL) agents (Playing Chess With Offline Reinforcement Learning, Playing Chess With a Generalized AI). Recently a new type of Transformer called the Retrieval Transformer has been growing in…",Ben Bellerose,2022-11-19,"['programming', 'machine-learning', 'python', 'ai', 'bots']"
https://medium.com/towards-data-science/temporal-fusion-transformer-time-series-forecasting-with-deep-learning-complete-tutorial-d32c1e51cd91,Temporal Fusion Transformer: Time Series Forecasting with Deep Learning — Complete Tutorial,"Create accurate and interpretable predictions — According to [2], Temporal Fusion Transformer outperforms all prominent Deep Learning models for time series forecasting. Including a featured Gradient Boosting Tree model for tabular time series data. But what is Temporal Fusion Transformer (TFT)[3] and why is it so interesting? In this article, we briefly explain the novelties of…",Nikos Kafritsas,2022-11-05,"['time-series-forecasting', 'artificial-intelligence', 'data-science', 'python', 'machine-learning']"
https://medium.com/syncedreview/a-promising-direction-for-semi-supervised-learning-aws-lab-s-semi-vit-beats-cnns-while-156c75e1a3ca,‘A Promising Direction for Semi-Supervised Learning’ — AWS Lab’s Semi-ViT Beats CNNs While Maintaining Scalability,"Since their introduction in 2020, vision transformers (ViTs) have achieved impressive performance across various computer vision tasks under supervised learning settings — training with labelled data. …",Synced,2022-08-17,[]
https://medium.com/@samanbatool08/trees-binary-search-trees-and-traversal-methods-the-difference-and-why-c52edd53cc31,"Trees, Binary Search Trees and traversal methods, the difference and why.","Data structures, amongst other things, are used to store and organize data. Different types of data are more efficiently organized using particular data structures. Trees are non-linear data structures which are quite often used to represent hierarchical data such as the employee organizational structure in a company. Structure of a Tree A tree is…",Saman Bat,2020-11-22,"['binary-search', 'inorder-traversal', 'preorder-traversal', 'postorder-traversal', 'binary-tree']"
https://medium.com/geekculture/super-fast-web-scraping-in-python-using-only-pandas-ff8916ba26bd,Super Fast Web Scraping in Python Using Only Pandas,"Web scraping made easy and fast in Python. — Did you know that we can scrape websites in Python using only Pandas? In certain situations, you could avoid building a scraper from scratch with Beautiful Soup, Selenium, or Scrapy and use only Pandas to easily extract data from websites. You only need the URL of the website you wish…",The PyCoach,2022-02-11,[]
https://medium.com/introduction-into-bash/bash-scripts-part-3-command-line-options-and-switches-97f1f3a30334,Bash Scripts — Part 3 — Command-Line Options and Switches,"Having mastered the previous parts of this series, you learned about what bash scripts are, how to write them, how to control the flow of a program, how to work with files. Today we will talk about how to add interactivity to scripts, equipping them with capabilities to receive data…",Mikhail Raevskiy,2020-07-28,[]
https://medium.com/@StartupBusinesstips/saas-growth-strategy-guide-8bc6cd82f048,SaaS Growth Strategy — Step-by-Step Worksheet [FREE],"Hey everyone, in today’s newsletter article, I will share with you the framework I use to create, analyze and optimize the growth strategy of SaaS startups. I hope it helps you to create a powerful SaaS Growth Strategy for your SaaS business. 👉 Get your FREE COPY of the WORKSHEET…",Startup Business Tips 🛠️,2022-02-01,[]
https://michael-levan.medium.com/are-kubernetes-stateful-sets-ready-for-production-e93452212b9c,Are Kubernetes StatefulSets Ready For Production?,"Have you ever logged into an email acccout or your banking app? Sure you have! You probably do it every day. When you do it, you’re interacting with a stateful application. A stateful application is a way to store data that’s needed again and again. The question for this blog…",Michael Levan,2022-04-27,"['kubernetes', 'docker', 'containers', 'programming', 'devops']"
https://medium.com/@jakubferencik/why-people-hate-ukraine-ukrainians-nato-disinformation-narratives-you-should-know-about-61090ba0fa91,"Why People Hate Ukraine, Ukrainians, & NATO — Disinformation Narratives You Should Know About","It’s hard to say why someone believes disinformation or misinformation in the first place. It might be because of poor education, a poor economy even, or just malicious intent. I don’t know if we’re that simple as human beings to attribute beliefs with attitudes more generally. I think it’s more…",Jakub Ferencik,2023-01-29,[]
https://medium.com/towards-data-science/paper-explained-semi-supervised-learning-of-visual-features-by-non-parametrically-predicting-view-1fcbf91517a0,Paper explained: Semi-Supervised Learning of Visual Features by Non-Parametrically Predicting View Assignments with Support Samples,"Taking advantage of labeled support samples for semi-supervised learning — In this story, we will have a closer look at PAWS (predicting view assignments with support labels), a novel method for applying semi-supervised learning to computer vision problems. This method has been presented as part of the recent paper “Semi-Supervised Learning of Visual Features by Non-Parametrically Predicting View Assignments with…",Leon Sick,2021-12-20,"['towards-data-science', 'machine-learning', 'computer-vision', 'research', 'data-science']"
https://medium.com/becoming-human/dont-just-create-plots-in-python-go-one-step-beyond-d60197ed6aa7,"Don’t Just Create Plots in Python, Go One Step Beyond","Show your visualizations in a web-based layout using Plotly Dash — A few years back, Data Scientists/Analysts used to do the data analysis in python and if it became a periodic (weekly, monthly, etc) requirement, the team used to jump to Tableau or any other dashboarding tool out there to create an auto-refresh dashboard but now you can do all of…",Anmol Tomar,2022-02-25,"['python', 'data-science', 'plotly', 'data-visualization', 'analytics']"
https://medium.com/@matt.fluet/the-garbage-collection-mysteries-volume-1-an-awkward-pause-cc12d7d01cb,The Garbage Collection Mysteries (Volume 1) — An Awkward Pause,"Background Around the end of 2019, an Appian alert was raised by an application server health check request failing to get a response from a customer site for almost 7 minutes. During the investigation, support engineering saw a corresponding 7 minute gap in the application server site metrics, indicating that the…",Matt Fluet,2021-03-23,[]
https://medium.com/@martinsjohnson/how-to-get-4000-watch-hours-on-youtube-in-less-than-24-hours-e89a7b661973,How To Get 4000 Watch Hours On YouTube In Less Than 24 Hours,"Secret Revealed That Will Help You Gain 4000 Watch Hours On YouTube Fast — Let’s face the fact here, YouTube is no longer easy as it was when it first started. It’s much more difficult and smarter now. The algorithm now only favors old or famous YouTubers, leaving the Newbies (does below 1000 subscribers) on a hell ladder to climb before being noticed. So…",Martins Johnson,2022-06-29,"['youtube', 'youtuber', 'youtube-creators', 'make-money-online', 'make-money']"
https://yjeong5126.medium.com/item-based-collaborative-filtering-in-python-91f747200fab,Item-Based Collaborative Filtering in Python,"The practice of making the item-based collaborative filtering in python. — Item-based collaborative filtering is the recommendation system to use the similarity between items using the ratings by users. In this article, I explain its basic concept and practice how to make the item-based collaborative filtering using Python. Basic Concept The fundamental assumption for this method is that a user gives similar ratings…",Yohan Jeong,2021-04-20,"['collaborative-filtering', 'movie-recommendation', 'python', 'item-based-cf', 'recommendation-system']"
https://medium.com/geekculture/reinforcement-learning-bellman-equation-in-c-b4c52b3300a9,Reinforcement Learning. Bellman Equation in C++.,"In following article I will shortly highlight the main concept of reinforcement learning, focusing especially on Bellman equation which is considered as a the fundamental equation in regarding domain. We are going to play simplified maze game in C++, my code you find here. Please note following article does not exhaust…",Markus Buchholz,2022-07-11,[]
https://medium.com/better-programming/the-best-vs-code-extensions-for-remote-working-3b7381aa018d,The Best VS Code Extensions For Remote Working,"Gistpad, GitLink, and more — What do developers want? Money, flexible schedules, pizza? Sure. Effortless remote collaboration? Hell, yes! Programming is a team sport and without proper communication, you can’t really expect spectacular results. A remote setup can make developer-to-developer communication challenging, but equipped with the right tools you have nothing to fear. Let’s take…",Carlo Morrone,2021-12-09,"['programming', 'productivity', 'remote-working', 'vscode', 'technology']"
https://medium.com/towards-data-science/how-to-build-a-streamlit-app-to-extract-topics-from-youtube-videos-9c7aebbfab8e,How To Build a Streamlit App To Extract Topics From YouTube Videos,An overview of the topic detection feature of AssemblyAI — Imagine running a platform where users regularly upload videos of their own. How would you categorize this growing content and tag it in relevant categories so that future visitors easily find it? A first approach would be to analyze the metadata that the users supplemented. This is usually in a…,Ahmed Besbes,2022-02-21,"['python', 'programming', 'data-science', 'speech-recognition', 'machine-learning']"
https://medium.com/towards-data-science/simulating-traffic-flow-in-python-ee1eab4dd20f,Simulating Traffic Flow in Python,"Implementing a microscopic traffic model — Although traffic doesn’t always flow smoothly, cars seamlessly crossing intersections and turning and stopping at traffic signals can look quite magnificent. This contemplation got me thinking of how important traffic flow is for human civilization. After this, the nerd inside of me couldn’t resist thinking of a way to simulate…",Bilal Himite,2021-09-05,"['data-science', 'programming', 'python', 'editors-pick', 'hands-on-tutorials']"
https://medium.com/@psrivasin/central-limit-theorem-27ad07020af7,Statistics for Data Science: Central Limit Theorem,"Central Limit Theorem is one of the most fundamental theorems in Statistics. The theorem states that if we have a population and we take a lot of large sized random samples from the population, the means of the samples will approximate normal distribution, regardless of the distribution of the population…",Prakhar S,2021-10-30,"['statistics', 'data-science', 'machine-learning']"
https://medium.com/@naokishibuya/transformers-evaluation-details-269f083042fb,Evaluation Details,"Greedy and Beam-Search Translator — In the previous article, we discussed the training details for my implementation of the Transformer architecture from Attention Is All You Need by Ashish Vaswani et. al. This is the last of the series of articles. We discuss the evaluation details: Encoder Feature Generation Greedy Translator Beam-Search Translator BLEU Score…",Naoki,2022-01-30,[]
https://medium.com/@ddwen/deep-understanding-of-golang-mutex-9964b02c56e9,Deep Understanding of Golang Mutex,"How to implement Golang Mutex — Before we start, we need to add several ways to implement locks. # Semaphore. There are P and V operations in the OS. The P operation is to change the semaphore by -1, and the V operation is to increase the semaphore by 1, so the operation mode of the…",Dwen,2022-09-22,"['golang', 'golang-tutorial', 'software-development', 'development', 'web-development']"
https://medium.com/wongnai/performance-is-a-feature-e10411ac118a,Performance is a Feature,Performance Test คือการเทสต์ประเภทหนึ่งในบรรดา Non-functional Testing ซึ่งมีส่วนสำคัญอย่างยิ่ง โดยเฉพาะกับระบบที่ต้องการความเสถียรอย่างมาก หน้าที่ของ Performance Test เป็นการทดสอบว่าซอฟต์แวร์ที่เราโฮสต์อยู่ใน environment ที่ เซ็ตอัพขึ้นมานั้นทำงานได้ดีแค่ไหน? เสถียรหรือไม่? ช้าหรือเปล่า? บทความนี้เขียนมาเพื่อแชร์ประสบการณ์การทำ Performance Test ที่ดี ในประเด็นเรื่องสิ่งที่ทีมเทสต์ควรทำตั้งแต่เริ่มต้นคุย Requirement เพื่อให้การวัดและผลลัพธ์ของ Performance Test ที่อยู่ในเฟสท้ายๆ ราบรื่นดังที่หวัง,Nutthaporn Onsiri,2022-02-04,"['performance-test-design', 'performance-test', 'qa', 'software-development', 'engineering2022']"
https://medium.com/@stephencowchau/pytorch-lightning-hooks-and-callbacks-my-limited-understanding-d8e0a56dcf2b,PyTorch Lightning Hooks and Callbacks — my limited understanding,"Background — What and why of callbacks in framework(s) One of the important part of a deep learning framework would be the balance between the ease of use and flexibility to change. With ease of use, I like PyTorch Lightning for their rich features which already encapsulated in the core structure (flow) while one can control the run through…",Stephen Cow Chau,2021-08-19,"['pytorch-lightning', 'callback']"
https://medium.com/@drbonis/a-cognitive-search-engine-and-question-answering-system-using-sparknlp-and-t5-b3902e5f7586,A cognitive search engine and question answering system using SparkNLP.,"In the masterpiece science fiction novel from Adam Douglas titled “The Hitchhiker’s Guide to the Galaxy” a “group of hyperdimensional and very smart beings” build an enormous supercomputer named Deep Thought and ask it the “Answer to the Ultimate Question of Life, the Universe, and Everything”. The Deep Thought, after…",Julio Bonis,2021-07-19,[]
https://medium.com/@itbodhi/handling-imbalanced-data-sets-in-machine-learning-5e5f33c70163,Handling Imbalanced data sets in Machine Learning,"What are the Best Practices, Techniques and Tools to make Right Model with Imbalanced data set? Let’s Start Suppose that you have to build a classification model on the given Covid-19 data set.You have applied your favourite algorithm and achieved 94% accuracy in predicting Covid Positive or Covid Negative.But still your boss…",ITBodhi,2020-07-21,[]
https://medium.com/@connectwithghosh/simple-matrix-factorization-example-on-the-movielens-dataset-using-pyspark-9b7e3f567536,Simple Matrix Factorization example on the Movielens dataset using Pyspark,Matrix factorization works great for building recommender systems. I think it got pretty popular after the Netflix prize competition. All you need to build one is information about which user bought or rated which items and you’re good to go. And I was surprised how amazingly simple to build one…,Soumya Ghosh,2018-03-22,[]
https://medium.com/itnext/dynamically-theme-your-flutter-app-59da5037f5df,Dynamically Theme Your Flutter App,"As you know, Flutter recently dropped its major version update, i.e. Flutter 3.0. It brings a lot of changes and one of them I was waiting for so long is Material You, which was officially unveiled at Google IO 2021. …",Raghav Joshi,2022-05-31,"['flutter', 'material-you', 'app-development', 'ui', 'ux']"
https://medium.com/swlh/a-simple-guide-on-using-bert-for-text-classification-bbf041ac8d04,A Simple Guide On Using BERT for Binary Text Classification.,"The A-to-Z guide on how you can use Google’s BERT for binary text classification tasks. I’ll be aiming to explain, as simply and straightforwardly as possible, how to fine-tune a BERT model (with PyTorch) and use it for a binary text classification task. — Update Notice II Please consider using the Simple Transformers library as it is easy to use, feature-packed, and regularly updated. The article still stands as a reference to BERT models and is likely to be helpful with understanding how BERT works. However, Simple Transformers offers a lot more features, much more straightforward tuning…",Thilina Rajapakse,2019-06-09,[]
https://medium.com/@slakhyani20/10-ai-powered-tools-launched-last-week-that-broke-the-internet-c83613b7d0c9,10 AI-Powered Tools Launched Last Week That Broke The Internet,"Believe me or not, 2023 is the year of AI. And if you’re going to ignore AI tools and automation, you’re going to miss out on a lot. Here are 10 AI-powered tools launched last week and won many hearts: Recipes by AI Generate recipes from a list of ingredients…",,,[]
https://medium.com/towards-artificial-intelligence/detecting-ai-written-text-7a926bf5ef7b,Detecting AI-written text,"DetectGPT¹, OpenAI Text Classifier² and Watermark³-technique attempt to detect AI-written text with varying results. Introduction The lack of tools to detect AI-written text — is an ongoing debate in industries from Publishing, Education to Social media. OpenAI published recently a…",Teemu Maatta,2023-02-03,"['nlp', 'ai', 'machine-learning', 'openai', 'computer-science']"
https://medium.com/data-for-science/natural-language-processing-5367cf4b88c,Natural Language Processing,"Fundamental and advanced techniques — Our next webinar is coming up on Tuesday, February 21, 2023. The rise of online social platforms has resulted in an explosion of written text in the form of blogs, posts, tweet, wiki pages, etc. This new wealth of data provides a unique opportunity to explore natural language in its…",Bruno Gonçalves,2023-02-06,"['networks', 'data-science', 'machine-learning', 'ai', 'bigdata']"
https://medium.com/aws-in-plain-english/how-to-mock-aws-s3-in-a-jest-unit-test-9adf4ffe2401,How to Mock AWS S3 in a Jest (Unit) Test,"I found it a bit hard to find out how to mock AWS S3 while using Jest. So, I thought I’d document it here. Useful Stack Overflow answers: How to mock S3 with jest? I am tryng to code a test for upload. But i am not understating how to properly use jest.mock('aws-sdk') export class…stackoverflow.com Jest Mock module per test Thanks for contributing an answer to Stack Overflow! Please be sure to answer the question. Provide details and share…stackoverflow.com",Nikhil Vijayan,2021-05-07,"['aws', 'amazon-web-services', 'cloud', 'cloud-computing', 'programming']"
https://medium.com/dev-genius/time-series-analysis-of-an-egg-farm-cd150137f684,Time-Series Analysis of an Egg Farm,"Using a lot of time-series models and R — In this post I want to show you my approach at modelling the egg production, and several other outcomes, using automated data at an egg farm. Its commercial data, so I cannot attach the data, but the example itself should provide ample of body to see what I did and…",Dr. Marc Jacobs,2022-02-22,"['r', 'animal-science', 'time-series-analysis', 'caret', 'crossvalidation']"
https://medium.com/@stermi/an-unofficial-audit-of-a-solidity-game-smart-contract-wizards-dragons-game-f8b1565c803f,An unofficial audit of a Solidity Game smart contract: Wizards & Dragons Game,"Two days ago Wizards & Dragons Game, an ethereum game has released their smart contract to be reviewed publicly. After following the Secureum Bootcamp about Smart Contract security I decided to take this opportunity and put into practice everything I’ve learned during this Bootcamp period. Premise I’m not a professional auditor…",StErMi,2021-12-01,"['web3', 'solidity', 'audit', 'ethereum', 'blockchain']"
https://medium.com/the-researchers-guide/finding-the-best-distribution-that-fits-your-data-using-pythons-fitter-library-319a5a0972e9,Finding the Best Distribution that Fits Your Data using Python’s Fitter Library,"Learn how to identify the best-fitted distribution. — Introduction Probability distributions are a fundamental concept in statistics. They are used both on a theoretical level and a practical level. Some use cases of probability distributions are: To calculate confidence intervals for parameters and to calculate critical regions for hypothesis tests. In the case of univariate data, it is often…",Rahul Raoniar,2021-06-06,[]
